16
64
500
21,m
42,r
21,r
52,r
26,m
27,m
40,r
59,m
2,m
62,m
19,r
3,r
53,m
39,m
42,r
22,r
34,r
15,m
0,m
54,m
4,r
21,m
39,r
15,m
0,m
4,r
10,r
19,r
14,r
44,r
15,m
24,m
22,m
17,m
55,r
26,r
25,m
62,m
16,r
50,r
57,r
45,r
52,m
47,m
20,r
5,m
0,m
52,r
62,r
19,r
21,r
47,m
44,m
17,m
9,r
40,m
1,m
25,r
28,r
16,m
11,m
23,m
42,r
50,m
60,r
1,r
40,r
50,r
25,m
8,m
41,m
55,r
57,r
28,r
14,r
40,r
25,r
4,r
50,r
32,m
12,m
18,r
40,r
21,r
21,m
25,m
15,r
10,r
14,r
38,r
37,m
11,m
29,r
57,m
23,r
22,r
34,r
0,r
24,r
1,m
33,r
51,r
4,r
27,m
2,r
1,m
61,m
10,m
29,m
55,m
10,m
61,m
62,r
42,m
12,m
42,m
63,r
17,r
53,r
3,r
21,m
17,r
37,r
63,m
51,m
3,m
62,r
39,m
13,m
57,r
35,m
57,m
11,m
61,m
8,r
38,r
18,r
58,m
27,r
43,r
50,r
30,m
41,m
25,r
26,m
52,m
7,r
11,m
4,r
4,m
53,r
45,r
34,m
3,r
24,r
7,m
27,m
10,m
55,r
42,m
49,r
48,m
13,r
40,r
31,m
49,m
22,r
58,r
14,r
57,r
15,r
59,r
17,r
50,r
19,m
36,m
33,r
2,r
45,m
13,m
42,r
0,m
58,m
24,m
27,r
42,m
17,r
46,r
11,r
32,m
55,m
29,m
27,m
4,r
21,r
7,m
27,r
32,r
33,r
50,m
63,m
46,m
7,m
63,m
15,r
30,m
5,m
0,m
3,m
32,r
59,r
60,r
37,m
11,r
18,m
28,m
3,r
12,r
42,m
61,r
23,m
45,r
48,r
37,r
62,r
26,m
30,m
4,r
18,r
5,r
27,m
41,m
54,r
38,m
50,r
16,r
54,r
33,m
30,r
48,r
52,m
32,m
6,r
14,m
58,r
23,r
59,r
5,r
48,m
5,r
30,r
43,m
31,m
17,r
55,m
42,r
22,m
45,r
10,m
34,m
24,r
63,m
18,r
10,r
1,m
49,r
14,m
1,m
35,m
33,r
26,m
60,m
1,m
61,m
59,r
56,m
58,m
33,m
37,r
22,r
8,m
60,m
48,r
58,r
37,m
61,r
42,m
63,r
61,r
35,m
11,m
52,m
58,m
1,m
3,r
61,m
13,m
30,m
50,m
42,r
30,r
26,r
14,r
5,r
45,m
13,r
56,m
48,r
5,m
59,m
14,m
41,r
47,r
62,r
11,m
59,m
29,m
25,r
47,r
34,r
42,m
55,r
38,r
53,m
52,m
58,r
5,r
7,m
14,m
38,r
52,m
38,r
33,m
33,m
47,m
37,r
50,m
18,r
23,r
21,m
18,r
58,m
51,m
36,r
26,r
44,r
11,r
17,r
57,r
5,r
46,m
34,r
58,r
41,r
15,m
15,m
33,r
13,r
57,m
19,r
52,m
16,r
9,m
31,m
36,m
60,r
12,r
51,r
23,r
15,m
58,m
44,m
19,r
6,r
58,m
52,r
60,r
33,m
58,m
47,r
2,r
57,r
44,r
22,m
13,m
22,r
4,m
12,m
20,m
47,m
39,m
45,r
43,m
35,r
60,r
55,r
55,r
18,m
5,r
45,m
30,m
24,r
13,m
10,r
38,m
47,m
6,r
30,r
53,r
62,r
23,m
5,r
46,m
54,m
30,r
10,m
16,r
46,m
33,m
45,m
50,r
46,r
51,m
51,m
50,m
4,m
51,m
37,m
19,m
60,r
1,r
16,m
14,m
26,m
2,m
53,r
4,r
52,r
40,m
2,r
35,r
42,m
2,m
35,r
6,r
1,m
7,r
15,r
14,m
39,r
59,r
60,m
27,m
51,m
35,m
47,m
34,m
50,m
58,r
48,r
17,r
13,r
7,r
25,m
23,m
46,m
35,r
12,m
44,m
45,r
18,m
54,m
18,m
37,r
35,r
46,r
30,m
38,r
27,m
37,r
49,r
54,m
59,m
52,r
3,r
1,m
54,m
38,m
20,m
52,r
22,r
44,r
24,r
55,r
26,r
54,r
8,r
24,r
52,m
8,r
