32
64
500
19,r
44,r
25,r
31,r
58,m
56,m
49,r
55,r
52,m
14,r
5,m
24,m
52,r
50,m
5,r
10,r
28,r
33,m
53,m
47,m
8,r
32,r
54,r
49,r
10,r
12,m
41,m
30,r
4,r
47,m
10,m
38,r
35,m
32,r
3,r
38,m
40,r
56,r
49,r
53,r
20,m
23,m
40,m
28,r
11,r
32,m
30,m
63,r
8,m
8,m
44,m
24,m
35,r
7,m
0,r
58,m
58,m
54,m
55,r
60,m
19,m
63,m
59,r
45,m
21,r
34,r
2,r
33,m
3,m
41,r
52,m
52,r
1,r
3,r
10,r
39,m
9,m
63,m
23,r
40,r
37,r
39,m
43,m
44,r
5,m
43,r
47,r
37,r
33,m
2,m
63,r
11,r
8,r
62,m
39,m
4,r
45,r
35,r
14,m
56,r
47,r
1,r
32,m
52,r
29,m
62,m
6,r
8,m
36,r
62,r
17,r
13,r
36,r
59,r
51,m
59,r
13,r
58,m
2,m
24,m
44,m
24,m
18,r
9,m
26,r
23,m
52,r
17,m
4,r
4,m
28,r
21,m
33,r
51,m
54,m
7,m
19,m
44,r
16,r
8,r
25,m
17,m
0,m
6,m
43,m
57,m
14,m
50,m
0,r
39,m
9,m
7,r
46,m
27,m
31,r
42,m
31,m
25,m
45,r
34,r
22,r
14,m
59,m
46,r
25,m
56,r
62,r
8,r
48,r
60,m
34,r
35,m
25,m
39,r
0,m
9,r
4,r
20,m
58,m
51,m
50,r
46,m
55,m
25,m
17,m
49,m
58,m
35,r
40,m
40,m
9,m
25,m
55,m
34,m
44,m
36,r
43,r
34,m
44,r
57,r
28,m
13,r
9,m
0,m
61,r
7,r
11,r
50,r
33,m
16,r
52,m
22,m
51,m
18,r
6,m
3,m
24,m
26,r
56,m
43,m
48,r
8,m
53,r
53,m
12,m
31,r
40,m
15,r
17,r
25,m
30,m
13,m
48,r
35,r
35,m
15,m
61,r
46,r
1,r
36,r
35,r
39,r
61,m
17,m
15,r
56,m
12,r
26,m
46,r
52,m
22,r
27,m
25,r
8,r
30,r
55,r
37,m
43,m
28,r
40,m
33,r
62,r
14,r
5,m
33,m
35,r
62,r
22,r
59,m
13,m
62,r
18,m
8,r
6,m
55,r
62,r
34,m
15,m
43,r
18,r
55,r
43,m
9,m
44,m
19,r
58,m
49,r
12,r
6,r
21,m
51,r
22,m
40,m
21,m
5,m
59,m
37,m
58,m
20,m
50,m
33,r
62,r
52,r
26,m
15,m
36,m
0,m
3,m
39,r
26,r
36,r
41,r
46,r
59,m
44,r
51,m
60,r
10,r
23,r
61,m
41,r
61,r
19,m
6,r
60,r
37,m
10,m
18,r
0,m
23,m
39,m
40,r
0,m
39,r
23,m
29,r
30,m
43,m
57,r
0,r
50,m
11,m
28,r
30,m
59,r
14,m
1,m
27,m
51,m
58,m
31,m
43,r
30,r
21,m
21,m
37,r
16,m
43,m
12,r
4,r
47,r
9,r
34,m
34,r
11,m
19,m
8,r
18,m
63,m
55,r
43,m
19,m
61,r
58,r
28,m
0,r
49,r
17,r
53,m
9,r
40,r
57,m
33,m
54,m
36,m
10,r
8,r
50,m
28,m
53,m
48,m
10,m
4,r
40,m
45,m
23,r
42,r
23,r
35,r
0,m
22,r
47,r
63,r
18,r
39,m
46,r
2,m
57,r
42,r
37,m
36,m
25,r
56,m
5,m
41,r
36,m
37,r
6,r
54,r
45,r
45,m
60,r
27,r
35,m
18,m
34,m
3,r
41,r
36,r
5,r
36,r
21,r
53,r
18,m
61,r
4,r
15,r
57,m
27,m
3,m
15,r
1,m
32,r
20,m
20,m
63,m
13,m
8,r
49,r
6,m
63,r
62,r
40,r
1,r
45,m
27,r
5,m
11,r
11,m
15,r
15,m
61,r
58,r
7,r
49,r
29,m
35,m
11,r
24,m
14,m
16,r
17,m
7,r
38,r
23,r
30,m
46,m
0,r
3,m
62,r
39,r
57,m
3,m
10,r
29,r
10,r
21,r
8,m
17,m
27,m
24,m
43,m
35,r
9,m
38,r
19,m
4,m
55,m
4,m
16,m
